age,dx,lx,qx,ax,sd,Lx,Tx,Ex,lb,ub,lci,uci
0,264,7451,0.0354314857066166,0.406774024,0.288121011,7294.38834223769,78732.02308,10.56663845,-0.050022515,0.048678261,10.51661593,10.61531671
1,227,7187,0.0315848058995408,0.509695445,0.286045195,7075.70086594038,71437.63473,9.939840647,-0.045320294,0.044968924,9.894520354,9.984809571
2,182,6960,0.0261494252873563,0.460372226,0.319295678,6861.78774513905,64361.93387,9.247404291,-0.041928077,0.04132368,9.205476215,9.288727971
3,168,6778,0.024786072587784,0.482983227,0.306977922,6691.1411821558,57500.14612,8.483349974,-0.039541012,0.038653577,8.443808961,8.522003551
4,173,6610,0.0261724659606657,0.438522985,0.273832941,6512.86447638604,50809.00494,7.686687585,-0.037618208,0.036998965,7.649069378,7.723686551
5,181,6437,0.0281186888302004,0.455341944,0.325876969,6338.41689187391,44296.14046,6.881488343,-0.034794475,0.035330906,6.846693868,6.916819249
6,236,6256,0.0377237851662404,0.42181003,0.329514774,6119.54716705326,37957.72357,6.067411057,-0.033467194,0.03431797,6.033943863,6.101729027
7,299,6020,0.0496677740863787,0.506717625,0.319623621,5872.50856985322,31838.1764,5.288733622,-0.032821027,0.032678848,5.255912595,5.32141247
8,413,5721,0.0721901765425625,0.483554741,0.318537887,5507.70810793597,25965.66783,4.538658947,-0.03106491,0.031012662,4.507594036,4.569671609
9,552,5308,0.103993971363979,0.456740472,0.30787711,5008.12074061399,20457.95973,3.854174779,-0.029169684,0.029557024,3.825005095,3.883731803
10,663,4756,0.139402859545837,0.451370584,0.309207182,4392.25869720765,15449.83899,3.24849432,-0.027699839,0.027908383,3.220794481,3.276402703
11,801,4093,0.195699975568043,0.489626825,0.315376698,3684.19108677466,11057.58029,2.701583261,-0.026825417,0.027209383,2.674757845,2.728792644
12,801,3292,0.243317132442284,0.472992756,0.306473769,2869.86719715694,7373.389202,2.239790159,-0.025919585,0.02588437,2.213870574,2.265674529
13,798,2491,0.320353271778402,0.457473149,0.309804699,2058.06357280021,4503.522005,1.807917304,-0.025922836,0.025836835,1.781994468,1.833754139
14,696,1693,0.411104548139398,0.431402744,0.312513188,1297.25630982711,2445.458432,1.444452706,-0.027567328,0.027890478,1.416885379,1.472343184
15,529,997,0.530591775325978,0.399019764,0.332143469,679.081455212056,1148.202122,1.151657093,-0.031842362,0.032416036,1.119814732,1.184073129
16,261,468,0.557692307692308,0.340818176,0.300548931,295.953543932365,469.1206669,1.002394587,-0.041816979,0.041957704,0.960577608,1.044352292
17,129,207,0.623188405797101,0.32543902,0.311613855,119.981633584303,173.167123,0.83655615,-0.056637084,0.056480701,0.779919066,0.89303685
18,54,78,0.692307692307692,0.265049729,0.289133302,38.3126853753137,53.18548939,0.681865249,-0.080111573,0.08445586,0.601753675,0.766321109
19,24,24,1,0.619700167,0.663138544,14.8728040155145,14.87280402,0.619700167,-0.122222903,0.131008648,0.497477265,0.750708815
